Bin_name	Kingdoms	Phylum	Class	Order	Family	Genus	Species 	Completeness	Contamination	New 
wheatSN0D73.bin1	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium pusense 	88.93	1.51	No 
wheatSN2D141.bin3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	Ochrobactrum intermedium 	95.49	1.73	No 
wheatSN2D143.bin4	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	Ochrobactrum_A pseudogrignonense 	95.65	2.43	No 
wheatSN2D141.bin16	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp002386585 	99.68	0.32	No 
wheatSN0D143.bin11	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium wanjuense 	99.78	0.81	No 
wheatSN2D142.bin2	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium mizutaii 	99.37	0	No 
wheatSN2D143.bin3	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp003627955 	99.84	1.43	No 
wheatSN0D142.bin6	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pseudosphingobacterium	Pseudosphingobacterium jilunii 	100	0.95	No 
wheatSN2D71.bin20	Bacteria	Firmicutes	Bacilli	Bacillales	Amphibacillaceae	Oceanobacillus	 	93.39	0.44	Yes 
wheatSN2D72.bin9	Bacteria	Firmicutes	Bacilli	Bacillales	Amphibacillaceae	Ornithinibacillus	 	97.85	0.88	Yes 
wheatSN0D622.bin5	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	 	95.42	1.31	Yes 
wheatSN0D621.bin5	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	 	85.01	2.39	Yes 
wheatSN0D1873.bin10	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	 	84.25	2.15	Yes 
wheatSN0D623.bin4	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Micromonosporaceae	Micromonospora	 	93.3	1.05	Yes 
wheatSN0D1873.bin4	Bacteria	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	 	84.76	3.44	Yes 
wheatSN0D72.bin5	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	 	97.9	1.48	Yes 
wheatSN2D141.bin12	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	 	97.37	0.73	Yes 
wheatSN2D621.bin1	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	 	95.89	2.13	Yes 
wheatSN0D1873.bin7	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Cellulomonadaceae	Promicromonospora	 	84.69	5.3	Yes 
wheatSN2D72.bin12	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Dermabacteraceae	Brachybacterium	 	94.97	0.8	Yes 
wheatSN0D1872.bin7	Bacteria	Actinobacteriota	Actinomycetia	Jiangellales	Jiangellaceae	Jiangella	 	100	1.76	Yes 
wheatSN2D622.bin7	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter	 	89.44	1.79	Yes 
wheatSN2D1871.bin11	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter	 	90.4	1.21	Yes 
wheatSN0D71.bin4	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	 	87.4	8.48	Yes 
wheatSN0D143.bin7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	 	93.68	3.99	Yes 
wheatSN0D143.bin1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	 	99.33	1.95	Yes 
wheatSN0D623.bin1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	ZC4RG30	 	93.87	2.75	Yes 
wheatSN0D1872.bin3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	 	96.59	2.49	Yes 
wheatSN2D1873.bin6	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	 	84.83	2.13	Yes 
wheatSN0D142.bin3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	 	83.44	2.37	Yes 
wheatSN2D141.bin2	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Candidimonas	 	95.94	1.71	Yes 
wheatSN2D72.bin3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudochrobactrum	 	99.83	0.43	Yes 
wheatSN0D141.bin19	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Kaistiaceae	Kaistia	 	91.63	4.78	Yes 
wheatSN0D142.bin7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Camelimonas	 	81.66	0.69	Yes 
wheatSN0D1873.bin11	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NIC37A-2	 	80.91	1.47	Yes 
wheatSN2D1871.bin4	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	PMG-095	 	89.28	4.01	Yes 
wheatSN0D141.bin8	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides	 	97.37	0.82	Yes 
wheatSN0D141.bin20	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides	 	93.28	1.09	Yes 
wheatSN2D141.bin15	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Moheibacter	 	98.97	0	Yes 
wheatSN0D141.bin6	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Moheibacter	 	83.89	1.08	Yes 
wheatSN2D1872.bin3	Bacteria	Bacteroidota	Bacteroidia	AKYH767		Unclassified 	 	97.47	1.27	Yes 
wheatSN2D141.bin11	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	 	88.02	5.74	Yes 
wheatSN2D141.bin1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	 	85.17	2	Yes 
wheatSN0D141.bin16	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niabella	 	99.01	0.52	Yes 
