DATASET_HEATMAP									
SEPARATOR TAB									
BORDER_WIDTH	0.5								
COLOR	#fb9a99								
COLOR_MAX	#1f78b4								
COLOR_MIN	#FFFFFF								
COLOR_NAN	#FFFFFF								
DATASET_LABEL	Genome								
FIELD_LABELS	N0_D0	N0_D7	N2_D7	N0_D14	N2_D14	N0_D62	N2_D62	N0_D187	N2_D187
wheatSN2D71.bin20	0	0	0.36	0	0.01	0	0.01	0	0
wheatSN0D1873.bin11	0	0	0	0	0	0.01	0	0.31	0
wheatSN2D141.bin1	0	0	0	0.03	0.34	0	0	0	0
wheatSN2D72.bin5	0	0	1.23	0	0.06	0	0.03	0	0.04
wheatSN2D1871.bin11	0	0	0	0.03	0.02	0.48	0.9	0.14	0.37
wheatSN0D141.bin19	0	0.01	0.04	0.44	0.15	0.32	0.19	0.16	0.14
wheatSN2D142.bin3	0	0	1.97	0	0.29	0	0	0	0
wheatSN0D621.bin5	0	0	0	0.19	0.01	2.69	0.21	1.48	0.36
wheatSN0D623.bin4	0	0	0	0	0	0.7	0.05	0.25	0.06
wheatSN2D141.bin6	0	0.09	1.23	0.06	3.22	0.01	0.02	0	0
wheatSN2D73.bin1	0	0.32	0.26	0	0	0	0	0	0
wheatSN0D73.bin1	0	0.47	0.04	3.58	1.22	0.19	0.16	0.11	0.09
wheatSN2D141.bin15	0	0	0	0.16	0.23	0	0	0	0
wheatSN2D1873.bin6	0	0	0	0.22	0.01	0.54	0.07	0.1	0.28
wheatSN0D142.bin7	0	0	0	0.2	0.15	0.11	0.04	0.06	0.06
wheatSN2D621.bin1	0	0.12	0.02	0.28	0.55	0.19	0.37	0.08	0.06
wheatSN2D72.bin9	0	0.02	0.41	0	0.1	0	0.06	0	0.03
wheatSN0D73.bin6	0	1.24	1.38	0	0	0	0	0	0
wheatSN2D71.bin10	0	0	0.21	0	0.01	0	0	0	0
wheatSN0D72.bin5	0	0.52	0.01	0.21	0.59	0.18	0.08	0.07	0.04
wheatSN2D141.bin12	0	0.02	0	0.05	0.3	0	0.01	0	0
wheatSN0D141.bin20	0	0	0	0.16	0	0	0	0	0
wheatSN0D622.bin5	0	0	0	0.01	0	0.82	0.28	0.49	0.24
wheatSN0D143.bin11	0	0	0	0.78	0.08	0.05	0.12	0	0
wheatSN2D71.bin5	0	0.03	0.31	0	0.05	0	0	0	0
wheatSN0D623.bin1	0	0	0	0	0	1.32	0.39	0.71	0.4
wheatSN2D141.bin3	0	0.06	0.23	1.09	6.06	0.13	0.34	0.08	0.18
